TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12
0.0,0,69.759,69.143,58.023999999999994,58.653999999999996,63.601000000000006,61.232,70.369,70.816,55.967,50.013000000000005,64.104,65.862
1.0,1,74.502,72.443,55.178999999999995,56.45399999999999,60.495,58.933,74.947,74.134,56.441,51.303999999999995,62.56100000000001,64.123
2.0,2,77.67699999999999,73.74600000000001,52.244,54.172,57.339,56.553999999999995,76.188,74.07,55.28,50.86,59.924,60.974
3.0,3,79.612,73.816,47.986000000000004,50.331,52.481,52.479,75.75,71.53399999999999,52.357,48.809,57.515,57.971000000000004
4.0,4,79.49600000000001,72.229,44.367,46.708,48.42100000000001,48.659,74.132,69.032,49.04,46.618,55.073,55.015
5.0,5,79.15,71.335,41.378,43.284,44.972,45.04,71.72,66.098,46.782,45.178999999999995,53.196000000000005,53.06100000000001
6.0,6,81.726,72.704,39.332,40.66,42.71,42.269,69.672,63.883,45.183,44.038000000000004,51.768,51.754
7.0,7,86.445,76.378,37.891,38.614000000000004,41.105,40.099000000000004,66.557,60.458999999999996,43.663999999999994,42.851000000000006,50.623999999999995,50.635
8.0,8,92.242,81.264,36.961,37.053000000000004,40.11,38.474000000000004,63.198,57.042,42.383,41.901,49.979,49.788000000000004
9.0,9,97.337,86.4,36.725,35.852,39.85,37.221,59.416000000000004,53.08,41.518,40.773,49.33,48.703
10.0,10,101.387,90.315,36.408,34.979,39.423,36.233000000000004,55.335,48.92,40.844,40.095,48.293,47.91
11.0,11,104.596,93.45200000000001,36.733000000000004,34.302,39.81,35.525999999999996,51.269,44.638999999999996,40.251,39.409,47.378,46.799
12.0,12,106.51899999999999,95.39200000000001,37.253,34.093,40.417,35.308,47.163999999999994,40.929,39.786,38.510999999999996,46.77,46.216
13.0,13,108.594,97.785,38.242,34.294000000000004,41.538000000000004,35.529,43.523,37.555,39.811,38.147,46.471000000000004,45.924
14.0,14,109.56200000000001,99.035,39.55,34.836999999999996,43.068000000000005,36.117,40.465,34.631,39.843,37.607,46.188,45.339
